sample,strategy,longest,overlap,repeat,estimate,memory,cpu_time
BPH2947,long,500,1000,0,1118035.8892888627,481264,50.44
ATCC_10708,long,500,1000,0,3485252.5250000004,277548,11.97
KPC2,long,500,1000,0,3796989.6506912443,582060,37.87
RDH275,long,500,1000,0,1581793.2705026455,272616,20.77
AJ292,long,500,1000,0,4154895.1626436785,592780,46.98
ATCC_17802,long,500,1000,0,4737268.9940476185,322708,15.63
ATCC_35221,long,500,1000,0,1401318.7752399868,244188,27.01
AMtb_1,long,500,1000,0,3241699.555555556,128100,5.53
MMC234,long,500,1000,0,1023423.4772727273,267472,27.21
ATCC_33560,long,500,1000,0,1676294.843487395,238848,24.47
ATCC_BAA-679,long,500,1000,0,2768484.1236842102,269600,21.35
ATCC_25922,long,500,1000,0,4192143.352941177,572652,23.96
ATCC_35897,long,500,500,0,2695397.808441559,257352,12.54
ATCC_19119,long,500,500,0,2589306.75,322224,14.23
BPH2947,long,500,500,0,1075478.7978723405,467792,26.43
ATCC_10708,long,500,500,0,3395436.778409091,255172,7.86
KPC2,long,500,500,0,3682340.7647058824,557516,22.1
RDH275,long,500,500,0,1549864.231884058,260240,12.75
AJ292,long,500,500,0,4124533.8125,566728,28.23
ATCC_17802,long,500,500,0,4577445.206349207,324740,9.95
ATCC_35221,long,500,500,0,1424109.1443850268,244192,15.16
AMtb_1,long,500,500,0,3206557.3666666667,124808,3.99
MMC234,long,500,500,0,1103053.7599469498,281544,15.86
ATCC_33560,long,500,500,0,1617530.7951388888,246504,13.69
ATCC_BAA-679,long,500,500,0,2738973.6363636367,262804,11.26
ATCC_25922,long,500,500,0,3634612.375,562228,15.14
ATCC_35897,long,500,100,0,2920461.5,250968,5.21
ATCC_19119,long,500,100,0,2615520.4583333335,305872,5.34
BPH2947,long,500,100,0,962894.7272727273,430060,8.18
ATCC_10708,long,500,100,0,2960625.0,255116,4.19
KPC2,long,500,100,0,3695783.553571429,521756,7.63
RDH275,long,500,100,0,1340556.25,232300,4.4
AJ292,long,500,100,0,4507420.666666667,525724,8.6
ATCC_17802,long,500,100,0,3784441.0000000005,307020,5.15
ATCC_35221,long,500,100,0,1454182.5277777778,246416,4.87
AMtb_1,long,500,100,0,3013727.0,122868,2.6
MMC234,long,500,100,0,1029221.4583333333,253932,5.05
ATCC_33560,long,500,100,0,1696685.6666666667,238272,4.58
ATCC_BAA-679,long,500,100,0,2798390.0,255212,4.72
ATCC_25922,long,500,100,0,4024769.9999999995,361324,5.58
ATCC_35897,long,500,25000,0,2776631.3001466272,370888,166.43
ATCC_19119,long,500,25000,0,2862702.8076834986,511964,171.49
BPH2947,long,500,25000,0,1856525.4768702118,539916,274.99
ATCC_10708,long,500,25000,0,3994769.103972575,477156,98.54
KPC2,long,500,25000,0,4854903.383143457,915220,237.78
RDH275,long,500,25000,0,1754111.056259735,403308,147.08
AJ292,long,500,25000,0,4952325.777699398,773988,359.42
ATCC_17802,long,500,25000,0,4987663.491009853,565388,120.61
ATCC_35221,long,500,25000,0,1493754.4353477487,275624,157.47
AMtb_1,long,500,25000,0,3599539.994869267,284048,59.86
MMC234,long,500,25000,0,1468544.5477017763,370528,193.4
ATCC_33560,long,500,25000,0,1704747.2307754345,288440,158.68
ATCC_BAA-679,long,500,25000,0,2904504.5864081886,470008,146.92
ATCC_25922,long,500,25000,0,4723701.307112123,715036,150.84
ATCC_35897,long,500,5000,0,2701977.41296177,269212,67.14
ATCC_19119,long,500,5000,0,2796504.1363954507,305872,75.62
BPH2947,long,500,5000,0,1232576.746420997,597144,157.57
ATCC_10708,long,500,5000,0,3729678.779275298,332808,37.85
KPC2,long,500,5000,0,4261661.650406504,712212,129.11
RDH275,long,500,5000,0,1674720.145976635,264632,63.59
AJ292,long,500,5000,0,4280498.8560075965,742416,168.15
ATCC_17802,long,500,5000,0,4926624.208955225,428676,49.28
ATCC_35221,long,500,5000,0,1441708.1716787126,309632,80.77
AMtb_1,long,500,5000,0,3353108.4457638,141016,16.92
MMC234,long,500,5000,0,1108059.9745866088,286640,87.0
ATCC_33560,long,500,5000,0,1655416.2123965272,308444,74.55
ATCC_BAA-679,long,500,5000,0,2844132.948717949,339696,62.98
ATCC_25922,long,500,5000,0,4536828.198417721,609216,64.33
ATCC_35897,long,500,10000,0,2754136.581815979,286628,105.46
ATCC_19119,long,500,10000,0,2798169.5579560027,424152,113.67
BPH2947,long,500,10000,0,1441436.9894893488,658184,207.11
ATCC_10708,long,500,10000,0,3818679.446728972,381212,56.66
KPC2,long,500,10000,0,4400998.587872341,802716,176.17
RDH275,long,500,10000,0,1712614.909294872,270124,92.98
AJ292,long,500,10000,0,4552521.977417417,851496,245.53
ATCC_17802,long,500,10000,0,4882245.4827925265,471560,74.88
ATCC_35221,long,500,10000,0,1473033.9011706733,251100,115.95
AMtb_1,long,500,10000,0,3439474.5573440646,181104,29.07
MMC234,long,500,10000,0,1243990.2382670697,297908,128.76
ATCC_33560,long,500,10000,0,1702541.2945659114,246972,111.26
ATCC_BAA-679,long,500,10000,0,2867304.7546229875,372764,101.67
ATCC_25922,long,500,10000,0,4634687.78042522,734680,97.57
ATCC_35897,long,10000,1000,0,2787451.6,1544200,53.34
ATCC_19119,long,10000,1000,0,2905862.7301587304,1492148,46.78
BPH2947,long,10000,1000,0,2805957.777777778,2063836,69.53
ATCC_10708,long,10000,1000,0,4518719.0,1515784,32.76
KPC2,long,10000,1000,0,5229512.945454545,3263392,75.96
RDH275,long,10000,1000,0,1772767.2727272727,1126196,35.11
AJ292,long,10000,1000,0,5145524.343434343,3169276,116.18
ATCC_17802,long,10000,1000,0,4975874.875,1626900,37.87
ATCC_35221,long,10000,1000,0,1494168.8253968256,1231320,39.86
AMtb_1,long,10000,1000,0,4128240.55,1102440,26.33
MMC234,long,10000,1000,0,1892990.2197802197,1498048,50.38
ATCC_33560,long,10000,1000,0,1664461.075630252,1328724,51.86
ATCC_BAA-679,long,10000,1000,0,3031032.8095238097,1452224,44.93
ATCC_25922,long,10000,1000,0,4503681.7,1984416,48.57
ATCC_35897,long,10000,500,0,2855799.0,1523940,31.22
ATCC_19119,long,10000,500,0,2898305.6875,1485696,28.25
BPH2947,long,10000,500,0,2747537.3333333335,2063676,42.76
ATCC_10708,long,10000,500,0,4502922.000000001,1509648,21.66
KPC2,long,10000,500,0,5302742.791666666,3263644,48.18
RDH275,long,10000,500,0,1704645.333333333,1100044,20.12
AJ292,long,10000,500,0,5249641.875,3168964,70.48
ATCC_17802,long,10000,500,0,4880957.0,1613428,24.09
ATCC_35221,long,10000,500,0,1535065.5416666665,1207808,24.86
AMtb_1,long,10000,500,0,4206509.0,1102236,17.17
MMC234,long,10000,500,0,1876187.75,1490444,29.66
ATCC_33560,long,10000,500,0,1655071.0,1331648,27.64
ATCC_BAA-679,long,10000,500,0,2904909.9999999995,1438680,27.07
ATCC_25922,long,10000,500,0,4674747.321428571,1935932,29.71
ATCC_35897,long,10000,100,0,2832941.0,1488112,13.71
ATCC_19119,long,10000,100,0,3345262.0000000005,1468280,12.98
BPH2947,long,10000,100,0,2817873.5,2062604,20.96
ATCC_10708,long,10000,100,0,inf,1474700,11.87
KPC2,long,10000,100,0,5887643.0,3116152,25.22
RDH275,long,10000,100,0,1689683.0000000002,1097900,10.33
AJ292,long,10000,100,0,5024087.0,3132276,30.77
ATCC_17802,long,10000,100,0,inf,1602240,13.16
ATCC_35221,long,10000,100,0,1606392.0,1167348,11.85
AMtb_1,long,10000,100,0,inf,1103676,9.54
MMC234,long,10000,100,0,1792390.0000000002,1462184,13.41
ATCC_33560,long,10000,100,0,1685668.9999999998,1287840,12.75
